experiment_id,wind_speed
0,0.5
1,0.545
2,0.5900000000000001
3,0.6350000000000001
4,0.6800000000000002
5,0.7250000000000002
6,0.7700000000000002
7,0.8150000000000003
8,0.8600000000000003
9,0.9050000000000004
10,0.9500000000000004
11,0.9950000000000004
12,1.0400000000000005
13,1.0850000000000004
14,1.1300000000000006
15,1.1750000000000007
16,1.2200000000000006
17,1.2650000000000006
18,1.3100000000000007
19,1.3550000000000009
20,1.4000000000000008
21,1.4450000000000007
22,1.4900000000000009
23,1.535000000000001
24,1.580000000000001
25,1.6250000000000009
26,1.670000000000001
27,1.7150000000000012
28,1.7600000000000011
29,1.805000000000001
30,1.8500000000000012
31,1.8950000000000014
32,1.9400000000000013
33,1.9850000000000012
34,2.030000000000001
35,2.0750000000000015
36,2.1200000000000014
37,2.1650000000000014
38,2.2100000000000017
39,2.2550000000000017
40,2.3000000000000016
41,2.3450000000000015
42,2.3900000000000015
43,2.435000000000002
44,2.4800000000000018
45,2.5250000000000017
46,2.570000000000002
47,2.615000000000002
48,2.660000000000002
49,2.705000000000002
50,2.7500000000000018
51,2.795000000000002
52,2.840000000000002
53,2.885000000000002
54,2.9300000000000024
55,2.9750000000000023
56,3.0200000000000022
57,3.065000000000002
58,3.110000000000002
59,3.1550000000000025
60,3.2000000000000024
61,3.2450000000000023
62,3.2900000000000027
63,3.3350000000000026
64,3.3800000000000026
65,3.4250000000000025
66,3.4700000000000024
67,3.515000000000003
68,3.5600000000000027
69,3.6050000000000026
70,3.650000000000003
71,3.695000000000003
72,3.740000000000003
73,3.785000000000003
74,3.8300000000000027
75,3.875000000000003
76,3.920000000000003
77,3.965000000000003
78,4.010000000000003
79,4.055000000000003
80,4.100000000000003
81,4.145000000000003
82,4.190000000000003
83,4.235000000000003
84,4.280000000000003
85,4.325000000000003
86,4.370000000000004
87,4.415000000000004
88,4.4600000000000035
89,4.5050000000000034
90,4.550000000000003
91,4.595000000000003
92,4.640000000000004
93,4.685000000000004
94,4.730000000000004
95,4.775000000000004
96,4.820000000000004
97,4.865000000000004
98,4.910000000000004
99,4.955000000000004
