simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution
49,4.0859,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
50,4.1641,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
51,4.2424,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
52,4.3207,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
53,4.399,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
54,4.4773,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
55,4.5556,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
56,4.6338,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
57,4.7121,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
58,4.7904,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
59,4.8687,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
60,4.947,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
61,5.0253,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
62,5.1035,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
63,5.1818,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
64,5.2601,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
65,5.3384,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
66,5.4167,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
67,5.4949,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
68,5.5732,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
69,5.6515,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
70,5.7298,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
71,5.8081,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
72,5.8864,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
73,5.9646,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
74,6.0429,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
75,6.1212,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
76,6.1995,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
77,6.2778,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
78,6.3561,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
79,6.4343,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
80,6.5126,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
81,6.5909,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
82,6.6692,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
83,6.7475,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
84,6.8258,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
85,6.904,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
86,6.9823,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
87,7.0606,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
88,7.1389,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
89,7.2172,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
90,7.2955,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
91,7.3737,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
92,7.452,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
93,7.5303,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
94,7.6086,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
95,7.6869,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
96,7.7652,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
97,7.8434,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
98,7.9217,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
99,8.0,high,0.31,0.31,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
100,0.25,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
101,0.3283,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
102,0.4066,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
103,0.4848,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
104,0.5631,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
105,0.6414,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
106,0.7197,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
107,0.798,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
108,0.8763,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
109,0.9545,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
110,1.0328,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
111,1.1111,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
112,1.1894,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
113,1.2677,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
114,1.346,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
115,1.4242,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
116,1.5025,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
117,1.5808,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
118,1.6591,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
119,1.7374,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
120,1.8157,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
121,1.8939,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
122,1.9722,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
123,2.0505,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
124,2.1288,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
125,2.2071,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
126,2.2854,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
127,2.3636,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
128,2.4419,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
129,2.5202,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
130,2.5985,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
131,2.6768,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
132,2.7551,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
133,2.8333,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
134,2.9116,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
135,2.9899,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
136,3.0682,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
137,3.1465,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
138,3.2247,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
139,3.303,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
140,3.3813,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
141,3.4596,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
142,3.5379,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
143,3.6162,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
144,3.6944,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
145,3.7727,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
146,3.851,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
147,3.9293,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
148,4.0076,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
149,4.0859,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
150,4.1641,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
151,4.2424,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
152,4.3207,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
153,4.399,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
154,4.4773,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
155,4.5556,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
156,4.6338,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
157,4.7121,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
158,4.7904,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
159,4.8687,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
160,4.947,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
161,5.0253,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
162,5.1035,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
163,5.1818,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
164,5.2601,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
165,5.3384,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
166,5.4167,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
167,5.4949,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
168,5.5732,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
169,5.6515,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
170,5.7298,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
171,5.8081,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
172,5.8864,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
173,5.9646,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
174,6.0429,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
175,6.1212,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
176,6.1995,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
177,6.2778,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
178,6.3561,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
179,6.4343,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
180,6.5126,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
181,6.5909,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
182,6.6692,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
183,6.7475,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
184,6.8258,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
185,6.904,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
186,6.9823,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
187,7.0606,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
188,7.1389,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
189,7.2172,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
190,7.2955,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
191,7.3737,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
192,7.452,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
193,7.5303,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
194,7.6086,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
195,7.6869,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
196,7.7652,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
197,7.8434,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
198,7.9217,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
199,8.0,medium,0.19,0.19,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
200,0.25,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
201,0.3283,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
202,0.4066,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
203,0.4848,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
204,0.5631,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
205,0.6414,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
206,0.7197,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
207,0.798,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
208,0.8763,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
209,0.9545,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
210,1.0328,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
211,1.1111,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
212,1.1894,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
213,1.2677,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
214,1.346,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
215,1.4242,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
