,simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution,ros
48,48,2.6818,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.722838002324356
49,49,2.7273,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7271555759353672
50,50,2.7727,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7306645134654737
51,51,2.8182,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7298379540256128
52,52,2.8636,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7394499181942686
53,53,2.9091,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7347906675170353
54,54,2.9545,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.734906251670892
55,55,3.0,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.734890615964623
56,56,3.0455,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7350049537044964
57,57,3.0909,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7300695357372243
58,58,3.1364,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.734508000225676
59,59,3.1818,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7299673038797222
60,60,3.2273,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.718156383844506
61,61,3.2727,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7389766854398073
62,62,3.3182,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7309254025764342
63,63,3.3636,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7437685328810724
64,64,3.4091,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7307799392171643
65,65,3.4545,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7300694094220028
66,66,3.5,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7225914231878398
67,67,3.5455,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7262596610691414
68,68,3.5909,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7216718744162265
69,69,3.6364,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7392847833325026
70,70,3.6818,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7255809112632032
71,71,3.7273,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7452845110826138
72,72,3.7727,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7393720283657728
73,73,3.8182,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7346964174394266
