simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
67,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,2.7
68,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,2.8
69,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,2.9
70,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,3.0
71,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,3.1
72,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,3.2
73,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,3.3
74,pfm,0.9,0.6,0.5,0.15,0.15,6561,6561,0.31,3.4
75,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.0
76,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.1
77,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.2
78,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.3
79,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.4
80,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.5
81,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.6
82,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.7
83,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.8
84,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,2.9
85,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,3.0
86,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,3.1
87,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,3.2
88,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,3.3
89,pfm,0.9,0.6,0.6,0.15,0.15,6561,6561,0.31,3.4
90,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.0
91,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.1
92,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.2
93,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.3
94,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.4
95,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.5
96,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.6
97,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.7
