simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
67,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,1.7
68,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,1.8
69,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,1.9
70,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.0
71,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.1
72,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.2
73,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.3
74,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.4
75,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.5
76,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.6
77,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.7
78,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.8
79,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,1.9
80,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.0
81,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.1
82,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.2
83,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.3
84,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.4
85,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.5
86,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.6
87,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.7
88,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.8
89,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,1.9
90,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.0
91,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.1
92,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.2
93,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.3
94,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.4
95,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.5
96,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.6
97,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.7
98,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.8
99,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,1.9
100,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.0
101,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.1
102,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.2
103,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.3
104,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.4
105,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.5
106,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.6
107,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.7
108,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.8
109,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,1.9
110,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.0
111,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.1
112,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.2
113,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.3
114,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.4
115,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.5
116,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.6
117,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.7
118,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.8
119,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,1.9
120,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.0
121,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.1
122,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.2
123,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.3
124,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.4
