simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
67,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
68,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
69,pfm,1.35,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
70,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
71,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
72,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.44
73,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.67
74,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,1.89
75,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.11
76,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.33
77,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.56
78,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,2.78
79,pfm,1.35,0.4,0.4,0.25,0.25,6561,6561,0.55,3.0
80,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.0
81,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.22
82,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.44
83,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.67
84,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,1.89
85,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.11
86,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.33
87,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.56
88,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,2.78
89,pfm,1.8,0.4,0.1,0.25,0.25,6561,6561,0.55,3.0
90,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.0
91,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.22
92,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.44
93,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.67
94,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,1.89
95,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.11
96,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.33
97,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.56
98,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,2.78
99,pfm,1.8,0.4,0.2,0.25,0.25,6561,6561,0.55,3.0
100,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.0
101,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.22
102,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.44
103,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.67
104,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,1.89
105,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.11
106,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.33
107,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
108,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
109,pfm,1.8,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
110,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
111,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
112,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.44
113,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.67
114,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,1.89
115,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,2.11
116,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,2.33
117,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,2.56
118,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,2.78
119,pfm,1.8,0.4,0.4,0.25,0.25,6561,6561,0.55,3.0
120,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,1.0
121,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,1.22
122,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,1.44
123,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,1.67
124,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,1.89
125,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,2.11
126,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,2.33
127,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,2.56
128,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,2.78
129,pfm,2.25,0.4,0.1,0.25,0.25,6561,6561,0.55,3.0
130,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,1.0
131,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,1.22
132,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,1.44
133,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,1.67
134,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,1.89
135,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,2.11
136,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,2.33
137,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,2.56
138,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,2.78
139,pfm,2.25,0.4,0.2,0.25,0.25,6561,6561,0.55,3.0
140,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,1.0
141,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,1.22
142,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,1.44
143,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,1.67
144,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,1.89
145,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,2.11
146,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,2.33
147,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
148,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
149,pfm,2.25,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
150,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
151,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
152,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,1.44
153,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,1.67
154,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,1.89
155,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,2.11
156,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,2.33
157,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,2.56
158,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,2.78
159,pfm,2.25,0.4,0.4,0.25,0.25,6561,6561,0.55,3.0
160,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,1.0
161,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,1.22
162,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,1.44
163,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,1.67
164,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,1.89
165,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,2.11
166,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,2.33
167,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,2.56
168,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,2.78
169,pfm,2.7,0.4,0.1,0.25,0.25,6561,6561,0.55,3.0
170,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,1.0
171,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,1.22
172,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,1.44
173,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,1.67
174,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,1.89
175,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,2.11
176,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,2.33
177,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,2.56
178,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,2.78
179,pfm,2.7,0.4,0.2,0.25,0.25,6561,6561,0.55,3.0
180,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,1.0
181,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,1.22
182,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,1.44
183,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,1.67
184,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,1.89
185,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,2.11
186,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,2.33
187,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,2.56
188,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,2.78
189,pfm,2.7,0.4,0.3,0.25,0.25,6561,6561,0.55,3.0
190,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,1.0
191,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,1.22
192,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,1.44
193,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,1.67
194,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,1.89
195,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,2.11
196,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,2.33
197,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,2.56
198,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,2.78
199,pfm,2.7,0.4,0.4,0.25,0.25,6561,6561,0.55,3.0
